player,dunk_tot,dunk_pct,rim_tot,rim_pct,rim_asted,other2pt_tot,other2pt_pct,other2pt_asted,3pt_tot,3pt_pct,3pt_asted,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Zach LaVine,21-25,84.0%,51-90,56.7%,47.1%,28-68,41.2%,25.0%,48-129,37.2%,85.4%,37,1,24.4,3.4,7.8,0.441,2.1,4.3,0.494,1.3,3.5,0.375,1.3,1.8,0.691,0.5,2.1,2.5,1.8,0.9,0.2,1.1,2.0,9.4
T.J. Warren,37-37,100.0%,192-251,76.5%,47.4%,120-286,42.0%,35.0%,31-116,26.7%,93.5%,70,49,31.2,7.5,13.6,0.555,6.9,11.5,0.598,0.6,2.0,0.315,2.8,4.3,0.654,2.7,3.0,5.7,1.0,1.5,0.5,1.7,2.5,18.5
Karl-Anthony Towns,22-24,91.7%,87-121,71.9%,43.7%,56-128,43.8%,41.1%,2-8,25.0%,50.0%,39,39,21.1,3.7,6.6,0.566,3.7,6.4,0.577,0.1,0.2,0.25,2.8,3.4,0.813,2.4,4.3,6.7,1.1,0.5,2.3,1.4,2.9,10.3
D'Angelo Russell,4-4,100.0%,70-110,63.6%,35.7%,66-174,37.9%,25.8%,95-232,40.9%,54.7%,35,34,33.9,6.6,14.7,0.449,3.9,8.1,0.479,2.7,6.6,0.411,3.4,4.5,0.756,1.0,4.7,5.7,5.0,1.6,0.3,2.9,2.1,19.3
Jahlil Okafor,64-67,95.5%,213-270,78.9%,54.0%,66-150,44.0%,34.8%,0-0,0.0%,0%,38,38,30.1,7.3,11.1,0.664,7.3,11.1,0.664,0.0,0.0,,2.6,5.1,0.51,3.5,4.9,8.5,1.3,0.8,1.4,2.5,2.1,17.3
Willie Cauley-Stein,69-74,93.2%,106-141,75.2%,67.9%,30-96,31.3%,40.0%,0-0,0.0%,0%,105,70,24.5,3.3,5.6,0.593,3.3,5.6,0.593,0.0,0.0,,1.4,2.8,0.508,2.4,3.9,6.2,0.9,1.1,2.2,1.2,2.3,8.0
Stanley Johnson,16-16,100.0%,64-119,53.8%,39.1%,67-155,43.2%,22.4%,43-116,37.1%,81.4%,38,37,28.4,4.6,10.3,0.446,3.4,7.2,0.478,1.1,3.1,0.371,3.5,4.7,0.742,2.0,4.5,6.5,1.7,1.5,0.4,2.2,2.6,13.8
Frank Kaminsky,31-34,91.2%,137-180,76.1%,49.6%,88-207,42.5%,19.3%,42-101,41.6%,95.2%,144,79,20.4,3.7,7.0,0.522,3.0,5.1,0.58,0.7,1.9,0.369,2.1,2.7,0.763,1.3,3.4,4.6,1.3,0.5,1.1,0.8,1.6,10.1
Justise Winslow,24-25,96.0%,112-163,68.7%,31.3%,15-85,17.6%,13.3%,46-112,41.1%,93.5%,39,39,29.1,4.4,9.1,0.486,3.3,6.3,0.516,1.2,2.8,0.418,2.6,4.0,0.641,1.3,5.2,6.5,2.1,1.3,0.9,1.8,2.8,12.6
Myles Turner,11-13,84.6%,40-54,74.1%,65.0%,60-141,42.6%,63.3%,17-62,27.4%,76.5%,34,7,22.2,3.4,7.6,0.455,2.9,5.7,0.513,0.5,1.8,0.274,2.8,3.3,0.839,1.3,5.2,6.5,0.6,0.3,2.6,1.4,2.4,10.1
Trey Lyles,28-30,93.3%,69-88,78.4%,56.5%,44-123,35.8%,61.4%,4-29,13.8%,75.0%,36,21,23.0,3.3,6.7,0.488,3.1,5.9,0.536,0.1,0.8,0.138,2.1,2.8,0.735,1.8,3.4,5.2,1.1,0.5,0.4,1.1,1.6,8.7
Devin Booker,8-9,88.9%,42-59,71.2%,57.1%,35-88,39.8%,28.6%,58-141,41.1%,98.3%,38,0,21.5,3.6,7.6,0.47,2.0,3.8,0.527,1.5,3.7,0.411,1.4,1.7,0.828,0.4,1.6,2.0,1.1,0.4,0.1,1.0,1.5,10.0
Cameron Payne,3-3,100.0%,53-87,60.9%,13.2%,96-208,46.2%,15.6%,83-221,37.6%,55.4%,69,69,32.4,6.3,14.6,0.432,4.0,8.3,0.487,2.3,6.3,0.359,3.7,4.7,0.781,0.4,3.2,3.7,5.7,1.8,0.5,2.9,2.4,18.5
Ben Simmons,56-61,91.8%,159-220,72.3%,48.4%,55-161,34.2%,30.9%,1-3,33.3%,100.0%,33,32,34.9,6.5,11.7,0.56,6.5,11.6,0.561,0.0,0.1,0.333,6.0,9.0,0.67,3.1,8.6,11.8,4.8,2.0,0.8,3.4,2.8,19.2
Brandon Ingram,17-17,100.0%,69-117,59.0%,17.4%,65-172,37.8%,16.9%,80-195,41.0%,95.0%,36,34,34.6,5.9,13.4,0.442,3.7,8.0,0.464,2.2,5.4,0.41,3.2,4.7,0.682,1.9,4.9,6.8,2.0,1.1,1.4,2.0,2.1,17.3
Jaylen Brown,21-25,84.0%,98-160,61.3%,28.6%,35-116,30.2%,14.3%,30-102,29.4%,86.7%,34,34,27.6,4.8,11.1,0.431,3.9,8.1,0.482,0.9,3.0,0.294,4.2,6.4,0.654,1.1,4.3,5.4,2.0,0.8,0.6,3.1,3.2,14.6
